Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0046635	GO:0046635	positive regulation of alpha-beta T cell activation	1.224e-06	0.000e+00	4.920e+00	1.202e-05
GO:0046635	GO:0046638	positive regulation of alpha-beta T cell differentiation	1.835e-05	0.000e+00	5.128e+00	7.450e-06
GO:0046635	GO:0046637	regulation of alpha-beta T cell differentiation	6.766e-06	0.000e+00	4.880e+00	1.317e-05
GO:0046635	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	1.411e-04	0.000e+00	5.047e+00	8.968e-06
GO:0046635	GO:0051133	regulation of NK T cell activation	1.005e-02	0.000e+00	5.724e+00	1.888e-06
GO:0046635	GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	3.025e-06	0.000e+00	5.580e+00	2.632e-06
GO:0046635	GO:0046634	regulation of alpha-beta T cell activation	4.033e-06	0.000e+00	4.666e+00	2.157e-05
GO:0046635	GO:0046641	positive regulation of alpha-beta T cell proliferation	4.738e-06	0.000e+00	5.491e+00	3.231e-06
GO:0046635	GO:0046640	regulation of alpha-beta T cell proliferation	2.314e-05	0.000e+00	5.256e+00	5.550e-06
GO:0046635	GO:2000561	regulation of CD4-positive, alpha-beta T cell proliferation	9.632e-04	0.000e+00	5.759e+00	1.743e-06
GO:0046635	GO:2000562	negative regulation of CD4-positive, alpha-beta T cell proliferation	1.180e-02	0.000e+00	5.934e+00	1.163e-06
GO:0046635	GO:0034116	positive regulation of heterotypic cell-cell adhesion	1.929e-03	0.000e+00	5.511e+00	3.086e-06
GO:0046635	GO:0034114	regulation of heterotypic cell-cell adhesion	8.464e-03	0.000e+00	5.321e+00	4.776e-06
GO:0046635	GO:0032816	positive regulation of natural killer cell activation	3.406e-03	0.000e+00	5.375e+00	4.219e-06
GO:0046635	GO:0032817	regulation of natural killer cell proliferation	3.078e-03	0.000e+00	5.850e+00	1.411e-06
GO:0046635	GO:0032814	regulation of natural killer cell activation	5.756e-03	0.000e+00	5.180e+00	6.614e-06
GO:0002922	GO:0002922	positive regulation of humoral immune response	1.432e-06	0.000e+00	5.212e+00	6.138e-06
GO:0002922	GO:0002920	regulation of humoral immune response	2.942e-05	0.000e+00	4.772e+00	1.692e-05
GO:0002922	GO:0030449	regulation of complement activation	1.117e-04	0.000e+00	5.000e+00	9.998e-06
GO:0002922	GO:0045916	negative regulation of complement activation	5.341e-04	0.000e+00	5.190e+00	6.454e-06
GO:0002922	GO:0002921	negative regulation of humoral immune response	5.341e-04	0.000e+00	5.123e+00	7.530e-06
GO:0002922	GO:0002925	positive regulation of humoral immune response mediated by circulating immunoglobulin	1.325e-05	0.000e+00	6.024e+00	9.460e-07
GO:0002922	GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	4.550e-05	0.000e+00	5.717e+00	1.919e-06
GO:0002922	GO:0050853	B cell receptor signaling pathway	1.106e-04	0.000e+00	4.800e+00	1.585e-05
GO:0002922	GO:0050851	antigen receptor-mediated signaling pathway	9.236e-03	0.000e+00	4.473e+00	3.362e-05
GO:0002922	GO:0002223	stimulatory C-type lectin receptor signaling pathway	5.049e-03	0.000e+00	6.144e+00	7.171e-07
GO:0002922	GO:0002220	innate immune response activating cell surface receptor signaling pathway	5.049e-03	0.000e+00	5.936e+00	1.160e-06
GO:0002922	GO:0002830	positive regulation of type 2 immune response	8.044e-03	0.000e+00	5.555e+00	2.785e-06
GO:0002922	GO:0002430	complement receptor mediated signaling pathway	1.147e-02	0.000e+00	5.350e+00	4.467e-06
GO:0002922	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	1.361e-02	0.000e+00	6.111e+00	7.744e-07
GO:0002922	GO:0002431	Fc receptor mediated stimulatory signaling pathway	8.468e-03	0.000e+00	5.813e+00	1.537e-06
GO:0002922	GO:0038094	Fc-gamma receptor signaling pathway	1.032e-02	0.000e+00	5.855e+00	1.396e-06
GO:0002922	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	1.361e-02	0.000e+00	6.053e+00	8.850e-07
GO:0002922	GO:0030450	regulation of complement activation, classical pathway	1.471e-04	0.000e+00	6.436e+00	3.662e-07
GO:0002922	GO:0045959	negative regulation of complement activation, classical pathway	3.601e-03	0.000e+00	6.455e+00	3.509e-07
GO:0016540	GO:0016540	protein autoprocessing	1.442e-06	0.000e+00	4.560e+00	2.755e-05
GO:0016540	GO:0009249	protein lipoylation	3.917e-03	0.000e+00	3.526e+00	2.976e-04
GO:0016540	GO:0031639	plasminogen activation	4.198e-04	0.000e+00	5.110e+00	7.766e-06
GO:0016540	GO:0031638	zymogen activation	5.156e-03	0.000e+00	4.694e+00	2.023e-05
GO:0035333	GO:0035333	Notch receptor processing, ligand-dependent	1.465e-06	0.000e+00	6.663e+00	2.174e-07
GO:0035333	GO:0031293	membrane protein intracellular domain proteolysis	1.326e-02	0.000e+00	5.200e+00	6.313e-06
GO:0035333	GO:0006509	membrane protein ectodomain proteolysis	7.413e-04	0.000e+00	4.916e+00	1.214e-05
GO:0035333	GO:0033619	membrane protein proteolysis	2.837e-03	0.000e+00	4.629e+00	2.351e-05
GO:0036336	GO:0036336	dendritic cell migration	1.754e-06	0.000e+00	5.304e+00	4.967e-06
GO:0036336	GO:0002407	dendritic cell chemotaxis	2.493e-05	0.000e+00	5.375e+00	4.219e-06
GO:0036336	GO:0048247	lymphocyte chemotaxis	1.244e-05	0.000e+00	5.264e+00	5.451e-06
GO:0036336	GO:0071674	mononuclear cell migration	1.102e-03	0.000e+00	4.711e+00	1.947e-05
GO:0036336	GO:0035754	B cell chemotaxis	1.620e-02	0.000e+00	6.004e+00	9.918e-07
GO:0036336	GO:0072678	T cell migration	4.200e-06	0.000e+00	5.416e+00	3.837e-06
GO:0036336	GO:0072676	lymphocyte migration	1.606e-04	0.000e+00	5.016e+00	9.643e-06
GO:0036336	GO:0010818	T cell chemotaxis	6.259e-05	0.000e+00	5.892e+00	1.282e-06
GO:0033627	GO:0033627	cell adhesion mediated by integrin	2.044e-06	0.000e+00	5.190e+00	6.454e-06
GO:0033627	GO:0033631	cell-cell adhesion mediated by integrin	1.550e-04	0.000e+00	5.879e+00	1.320e-06
GO:0033627	GO:0019062	virion attachment to host cell	1.958e-03	0.000e+00	2.554e+00	2.791e-03
GO:0033627	GO:0044650	adhesion of symbiont to host cell	1.738e-03	0.000e+00	2.541e+00	2.880e-03
GO:0033627	GO:0044406	adhesion of symbiont to host	1.570e-03	0.000e+00	2.540e+00	2.884e-03
GO:0033627	GO:0007160	cell-matrix adhesion	1.430e-02	0.000e+00	4.244e+00	5.696e-05
GO:1901098	GO:1901098	positive regulation of autophagosome maturation	2.068e-06	0.000e+00	5.438e+00	3.647e-06
GO:1901098	GO:0032233	positive regulation of actin filament bundle assembly	1.182e-03	0.000e+00	4.865e+00	1.366e-05
GO:1901098	GO:0051496	positive regulation of stress fiber assembly	3.338e-04	0.000e+00	5.021e+00	9.529e-06
GO:1901098	GO:0051492	regulation of stress fiber assembly	7.834e-04	0.000e+00	4.654e+00	2.217e-05
GO:1901098	GO:0032231	regulation of actin filament bundle assembly	3.685e-03	0.000e+00	4.553e+00	2.801e-05
GO:1901098	GO:2000646	positive regulation of receptor catabolic process	6.335e-05	0.000e+00	5.923e+00	1.194e-06
GO:1901098	GO:2000644	regulation of receptor catabolic process	3.168e-04	0.000e+00	5.673e+00	2.125e-06
GO:1901098	GO:0044090	positive regulation of vacuole organization	7.415e-05	0.000e+00	5.229e+00	5.905e-06
GO:1901098	GO:0044088	regulation of vacuole organization	1.437e-02	0.000e+00	4.705e+00	1.972e-05
GO:1901098	GO:1905671	regulation of lysosome organization	1.342e-03	0.000e+00	6.251e+00	5.607e-07
GO:1901098	GO:1903551	regulation of extracellular exosome assembly	5.928e-04	0.000e+00	5.927e+00	1.183e-06
GO:1901098	GO:0071801	regulation of podosome assembly	2.981e-03	0.000e+00	5.567e+00	2.708e-06
GO:0036037	GO:0036037	CD8-positive, alpha-beta T cell activation	2.219e-06	0.000e+00	5.726e+00	1.881e-06
GO:0036037	GO:0043374	CD8-positive, alpha-beta T cell differentiation	4.035e-05	0.000e+00	5.804e+00	1.572e-06
GO:0036037	GO:0045063	T-helper 1 cell differentiation	1.877e-05	0.000e+00	5.962e+00	1.091e-06
GO:0036037	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	1.203e-04	0.000e+00	5.451e+00	3.536e-06
GO:0036037	GO:0046633	alpha-beta T cell proliferation	1.490e-05	0.000e+00	6.046e+00	9.002e-07
GO:0036037	GO:0001866	NK T cell proliferation	2.163e-03	0.000e+00	6.149e+00	7.095e-07
GO:0036037	GO:0042100	B cell proliferation	3.481e-04	0.000e+00	5.177e+00	6.656e-06
GO:0036037	GO:0035739	CD4-positive, alpha-beta T cell proliferation	9.632e-04	0.000e+00	7.941e+00	1.144e-08
GO:0016266	GO:0016266	O-glycan processing	2.260e-06	0.000e+00	5.063e+00	8.640e-06
GO:0016266	GO:0006493	protein O-linked glycosylation	4.029e-05	0.000e+00	3.606e+00	2.478e-04
GO:0016266	GO:0035269	protein O-linked mannosylation	1.572e-03	0.000e+00	3.981e+00	1.045e-04
GO:0016266	GO:0035268	protein mannosylation	7.818e-03	0.000e+00	3.977e+00	1.055e-04
GO:0016266	GO:0097502	mannosylation	1.120e-02	0.000e+00	3.275e+00	5.314e-04
GO:0016266	GO:0018279	protein N-linked glycosylation via asparagine	7.360e-04	0.000e+00	4.567e+00	2.711e-05
GO:0016266	GO:0018196	peptidyl-asparagine modification	2.047e-03	0.000e+00	4.562e+00	2.744e-05
GO:0016266	GO:0006487	protein N-linked glycosylation	4.744e-03	0.000e+00	3.882e+00	1.311e-04
GO:0030948	GO:0030948	negative regulation of vascular endothelial growth factor receptor signaling pathway	2.409e-06	0.000e+00	5.156e+00	6.988e-06
GO:0030948	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	9.691e-03	0.000e+00	4.984e+00	1.038e-05
GO:0030948	GO:0090288	negative regulation of cellular response to growth factor stimulus	4.009e-04	0.000e+00	4.415e+00	3.848e-05
GO:0030948	GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway	5.537e-03	0.000e+00	5.200e+00	6.305e-06
GO:0030948	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	1.650e-03	0.000e+00	4.595e+00	2.542e-05
GO:0030948	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	4.653e-03	0.000e+00	4.450e+00	3.549e-05
GO:0030948	GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2.025e-03	0.000e+00	4.245e+00	5.692e-05
GO:0030948	GO:1903845	negative regulation of cellular response to transforming growth factor beta stimulus	1.400e-03	0.000e+00	6.350e+00	4.463e-07
GO:0030948	GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	4.140e-03	0.000e+00	4.444e+00	3.594e-05
GO:0097242	GO:0097242	amyloid-beta clearance	2.435e-06	0.000e+00	5.330e+00	4.680e-06
GO:0097242	GO:0007608	sensory perception of smell	1.215e-02	0.000e+00	3.467e+00	3.411e-04
GO:0061370	GO:0061370	testosterone biosynthetic process	2.441e-06	0.000e+00	5.701e+00	1.991e-06
GO:0061370	GO:0019369	arachidonic acid metabolic process	2.818e-04	0.000e+00	4.822e+00	1.506e-05
GO:0061370	GO:0032342	aldosterone biosynthetic process	4.277e-04	0.000e+00	6.389e+00	4.082e-07
GO:0061370	GO:0032341	aldosterone metabolic process	6.181e-04	0.000e+00	6.389e+00	4.082e-07
GO:0006805	GO:0006805	xenobiotic metabolic process	8.533e-06	0.000e+00	3.522e+00	3.005e-04
GO:0006805	GO:0042178	xenobiotic catabolic process	5.039e-04	0.000e+00	3.562e+00	2.742e-04
GO:0007586	GO:0007586	digestion	2.793e-06	0.000e+00	4.998e+00	1.004e-05
GO:0007586	GO:0044241	lipid digestion	4.163e-04	0.000e+00	6.332e+00	4.654e-07
GO:0007586	GO:0022600	digestive system process	4.907e-06	0.000e+00	4.761e+00	1.732e-05
GO:0007586	GO:0030277	maintenance of gastrointestinal epithelium	3.554e-05	0.000e+00	5.246e+00	5.680e-06
GO:0007586	GO:0046541	saliva secretion	3.011e-03	0.000e+00	5.749e+00	1.781e-06
GO:0007586	GO:0019233	sensory perception of pain	5.188e-03	0.000e+00	5.097e+00	7.999e-06
GO:0007586	GO:0007585	respiratory gaseous exchange by respiratory system	6.617e-03	0.000e+00	5.235e+00	5.821e-06
GO:0007586	GO:0003016	respiratory system process	8.190e-03	0.000e+00	5.472e+00	3.372e-06
GO:0007586	GO:0001696	gastric acid secretion	9.619e-03	0.000e+00	5.419e+00	3.807e-06
GO:0007586	GO:0046717	acid secretion	7.280e-03	0.000e+00	5.201e+00	6.294e-06
GO:0007586	GO:0090660	cerebrospinal fluid circulation	1.156e-02	0.000e+00	5.984e+00	1.038e-06
GO:0001910	GO:0001910	regulation of leukocyte mediated cytotoxicity	2.847e-06	0.000e+00	4.834e+00	1.466e-05
GO:0001910	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	7.683e-06	0.000e+00	4.946e+00	1.132e-05
GO:0001910	GO:0001916	positive regulation of T cell mediated cytotoxicity	2.686e-05	0.000e+00	5.523e+00	2.998e-06
GO:0001910	GO:0001914	regulation of T cell mediated cytotoxicity	2.115e-05	0.000e+00	5.394e+00	4.036e-06
GO:0001910	GO:0042269	regulation of natural killer cell mediated cytotoxicity	1.591e-05	0.000e+00	5.040e+00	9.113e-06
GO:0001910	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	9.376e-04	0.000e+00	5.134e+00	7.343e-06
GO:0006968	GO:0006968	cellular defense response	2.990e-06	0.000e+00	5.702e+00	1.987e-06
GO:0006968	GO:0042742	defense response to bacterium	1.039e-04	0.000e+00	3.514e+00	3.063e-04
GO:0006968	GO:0050830	defense response to Gram-positive bacterium	4.286e-05	0.000e+00	4.680e+00	2.091e-05
GO:0006968	GO:0050829	defense response to Gram-negative bacterium	1.538e-04	0.000e+00	4.601e+00	2.507e-05
GO:0006968	GO:0042832	defense response to protozoan	1.376e-02	0.000e+00	5.471e+00	3.380e-06
GO:0006968	GO:0001562	response to protozoan	1.376e-02	0.000e+00	5.445e+00	3.586e-06
GO:0071384	GO:0071384	cellular response to corticosteroid stimulus	2.999e-06	0.000e+00	5.217e+00	6.073e-06
GO:0071384	GO:0071385	cellular response to glucocorticoid stimulus	1.628e-05	0.000e+00	5.230e+00	5.886e-06
GO:0071384	GO:0051384	response to glucocorticoid	1.432e-04	0.000e+00	4.941e+00	1.145e-05
GO:0071384	GO:0032570	response to progesterone	3.622e-03	0.000e+00	5.441e+00	3.624e-06
GO:0071384	GO:1901654	response to ketone	3.154e-03	0.000e+00	4.514e+00	3.065e-05
GO:0071384	GO:0043627	response to estrogen	4.085e-03	0.000e+00	4.842e+00	1.440e-05
GO:0071384	GO:0071548	response to dexamethasone	8.976e-03	0.000e+00	5.462e+00	3.452e-06
GO:0071384	GO:0044321	response to leptin	1.031e-02	0.000e+00	5.451e+00	3.544e-06
GO:0071384	GO:0071392	cellular response to estradiol stimulus	1.557e-03	0.000e+00	5.065e+00	8.602e-06
GO:0071384	GO:0032355	response to estradiol	8.618e-03	0.000e+00	4.857e+00	1.392e-05
GO:0071384	GO:0097068	response to thyroxine	4.253e-03	0.000e+00	6.971e+00	1.068e-07
GO:0071384	GO:1904044	response to aldosterone	2.717e-05	0.000e+00	6.900e+00	1.259e-07
GO:0071384	GO:0031960	response to corticosteroid	8.222e-05	0.000e+00	4.912e+00	1.226e-05
GO:0071384	GO:0071466	cellular response to xenobiotic stimulus	2.385e-03	0.000e+00	5.357e+00	4.391e-06
GO:0071384	GO:0071248	cellular response to metal ion	1.352e-02	0.000e+00	4.468e+00	3.401e-05
GO:0071384	GO:0072719	cellular response to cisplatin	7.036e-05	0.000e+00	6.094e+00	8.049e-07
GO:0071384	GO:0072718	response to cisplatin	4.033e-04	0.000e+00	5.965e+00	1.083e-06
GO:0071384	GO:0034694	response to prostaglandin	3.713e-04	0.000e+00	5.358e+00	4.383e-06
GO:0071384	GO:0034695	response to prostaglandin E	2.156e-03	0.000e+00	5.486e+00	3.265e-06
GO:0071384	GO:0042220	response to cocaine	5.789e-03	0.000e+00	5.578e+00	2.643e-06
GO:0071384	GO:0043279	response to alkaloid	7.183e-03	0.000e+00	4.970e+00	1.070e-05
GO:0071384	GO:0070542	response to fatty acid	6.412e-03	0.000e+00	5.093e+00	8.064e-06
GO:0071384	GO:0071222	cellular response to lipopolysaccharide	1.087e-02	0.000e+00	4.609e+00	2.462e-05
GO:0071384	GO:0071216	cellular response to biotic stimulus	6.016e-03	0.000e+00	4.396e+00	4.014e-05
GO:0042554	GO:0042554	superoxide anion generation	3.130e-06	0.000e+00	5.053e+00	8.842e-06
GO:0042554	GO:0006801	superoxide metabolic process	2.439e-05	0.000e+00	2.976e+00	1.056e-03
GO:0042554	GO:0046209	nitric oxide metabolic process	9.300e-03	0.000e+00	4.596e+00	2.534e-05
GO:0042554	GO:2001057	reactive nitrogen species metabolic process	1.021e-02	0.000e+00	3.246e+00	5.669e-04
GO:0042554	GO:0050665	hydrogen peroxide biosynthetic process	1.622e-05	0.000e+00	5.209e+00	6.176e-06
GO:0042554	GO:1903409	reactive oxygen species biosynthetic process	3.697e-03	0.000e+00	4.487e+00	3.260e-05
GO:0042554	GO:0042743	hydrogen peroxide metabolic process	5.359e-03	0.000e+00	3.347e+00	4.501e-04
GO:0043032	GO:0043032	positive regulation of macrophage activation	3.323e-06	0.000e+00	5.414e+00	3.857e-06
GO:0043032	GO:0043030	regulation of macrophage activation	2.763e-04	0.000e+00	5.025e+00	9.445e-06
GO:0043032	GO:0042129	regulation of T cell proliferation	2.854e-04	0.000e+00	4.393e+00	4.043e-05
GO:0043032	GO:0050670	regulation of lymphocyte proliferation	2.131e-04	0.000e+00	4.248e+00	5.648e-05
GO:0043032	GO:0032944	regulation of mononuclear cell proliferation	2.229e-04	0.000e+00	4.240e+00	5.756e-05
GO:0043032	GO:0070663	regulation of leukocyte proliferation	1.566e-04	0.000e+00	4.219e+00	6.041e-05
GO:0043032	GO:0033688	regulation of osteoblast proliferation	4.704e-03	0.000e+00	5.277e+00	5.287e-06
GO:0043032	GO:2000489	regulation of hepatic stellate cell activation	5.481e-03	0.000e+00	6.460e+00	3.471e-07
GO:0003253	GO:0003253	cardiac neural crest cell migration involved in outflow tract morphogenesis	3.453e-06	0.000e+00	6.276e+00	5.302e-07
GO:0003253	GO:0060973	cell migration involved in heart development	5.019e-06	0.000e+00	5.223e+00	5.977e-06
GO:0003253	GO:0042074	cell migration involved in gastrulation	4.287e-03	0.000e+00	4.865e+00	1.366e-05
GO:0003253	GO:0051546	keratinocyte migration	7.436e-03	0.000e+00	6.105e+00	7.858e-07
GO:0003253	GO:0061450	trophoblast cell migration	1.346e-03	0.000e+00	8.118e+00	7.629e-09
GO:0003253	GO:0001755	neural crest cell migration	3.449e-03	0.000e+00	4.728e+00	1.872e-05
GO:2000107	GO:2000107	negative regulation of leukocyte apoptotic process	3.742e-06	0.000e+00	5.092e+00	8.083e-06
GO:2000107	GO:0070229	negative regulation of lymphocyte apoptotic process	2.536e-05	0.000e+00	5.253e+00	5.581e-06
GO:2000107	GO:2000106	regulation of leukocyte apoptotic process	9.371e-06	0.000e+00	4.801e+00	1.580e-05
GO:2000107	GO:0070228	regulation of lymphocyte apoptotic process	1.245e-04	0.000e+00	4.954e+00	1.112e-05
GO:2000107	GO:0070233	negative regulation of T cell apoptotic process	2.610e-04	0.000e+00	5.430e+00	3.715e-06
GO:2000107	GO:0070232	regulation of T cell apoptotic process	1.295e-03	0.000e+00	5.119e+00	7.595e-06
GO:2000107	GO:2000669	negative regulation of dendritic cell apoptotic process	2.799e-04	0.000e+00	5.967e+00	1.080e-06
GO:2000107	GO:2000668	regulation of dendritic cell apoptotic process	3.343e-03	0.000e+00	5.772e+00	1.690e-06
GO:2000107	GO:0002903	negative regulation of B cell apoptotic process	2.981e-04	0.000e+00	5.731e+00	1.858e-06
GO:2000107	GO:0002902	regulation of B cell apoptotic process	6.053e-03	0.000e+00	5.503e+00	3.143e-06
GO:2000107	GO:1901216	positive regulation of neuron death	6.395e-04	0.000e+00	4.898e+00	1.266e-05
GO:2000107	GO:0043525	positive regulation of neuron apoptotic process	7.131e-03	0.000e+00	5.161e+00	6.897e-06
GO:2000107	GO:0043524	negative regulation of neuron apoptotic process	6.575e-03	0.000e+00	4.529e+00	2.959e-05
GO:2000107	GO:0043523	regulation of neuron apoptotic process	3.430e-03	0.000e+00	4.378e+00	4.183e-05
GO:2000107	GO:1902337	regulation of apoptotic process involved in morphogenesis	1.037e-03	0.000e+00	5.778e+00	1.667e-06
GO:2000107	GO:1904748	regulation of apoptotic process involved in development	1.037e-03	0.000e+00	5.552e+00	2.804e-06
GO:2000107	GO:0070244	negative regulation of thymocyte apoptotic process	1.464e-03	0.000e+00	5.890e+00	1.289e-06
GO:2000107	GO:0070243	regulation of thymocyte apoptotic process	1.235e-02	0.000e+00	5.553e+00	2.800e-06
GO:0014908	GO:0014908	myotube differentiation involved in skeletal muscle regeneration	3.753e-06	0.000e+00	6.343e+00	4.539e-07
